bid px,bid size,bid size cumulative,bid sum,bid sum cumulative,exchange,time
17,17516.5,0.8895,15.6684,15580.92675,274566.4961,FTX,2020-11-17 22:05:36
18,17516.5,83.9941,218.5002,1471282.65265,3827426.80945,FTXUS,2020-11-17 22:05:36
19,17516.0,0.0171,15.6855,299.5236,274866.0197,FTX,2020-11-17 22:05:36
0,17526.0,0.0002,0.0002,3.5052,3.5052,FTX,2020-11-17 22:05:41
1,17525.5,0.125,0.1252,2190.6875,2194.1927,FTX,2020-11-17 22:05:41
2,17525.0,0.0057,0.1309,99.8925,2294.0852,FTX,2020-11-17 22:05:41
3,17524.0,0.0002,0.1311,3.5048,2297.59,FTX,2020-11-17 22:05:41
4,17523.0,49.0458,49.0458,859429.5534,859429.5534,FTXUS,2020-11-17 22:05:41
5,17523.0,0.1425,0.2736,2497.0275,4794.6175,FTX,2020-11-17 22:05:41
6,17522.0,8.9179,9.1915,156259.4438,161054.0613,FTX,2020-11-17 22:05:41
7,17521.5,0.1381,9.3296,2419.71915,163473.78045,FTX,2020-11-17 22:05:41
8,17521.0,0.1187,9.4483,2079.7427,165553.52315,FTX,2020-11-17 22:05:41
9,17520.5,0.0593,9.5076,1038.96565,166592.4888,FTX,2020-11-17 22:05:41
10,17518.0,0.8031,49.8489,14068.7058,873498.2592,FTXUS,2020-11-17 22:05:41
11,17518.0,0.1185,9.6261,2075.883,168668.3718,FTX,2020-11-17 22:05:41
12,17517.5,66.8892,116.7381,1171731.561,2045229.8202,FTXUS,2020-11-17 22:05:41
13,17517.5,0.326,9.9521,5710.705,174379.0768,FTX,2020-11-17 22:05:41
14,17517.0,0.4449,10.397,7793.3133,182172.3901,FTX,2020-11-17 22:05:41
15,17516.5,83.9941,200.7322,1471282.65265,3516512.47285,FTXUS,2020-11-17 22:05:41
16,17516.5,0.8968,11.2938,15708.7972,197881.1873,FTX,2020-11-17 22:05:41
17,17516.0,0.0467,11.3405,817.9972,198699.1845,FTX,2020-11-17 22:05:41
18,17515.0,0.0888,11.4293,1555.332,200254.5165,FTX,2020-11-17 22:05:41
19,17513.0,0.3256,11.7549,5702.2328,205956.7493,FTX,2020-11-17 22:05:41
0,17525.0,0.0057,0.0057,99.8925,99.8925,FTX,2020-11-17 22:05:45
1,17524.0,0.0002,0.0059,3.5048,103.3973,FTX,2020-11-17 22:05:45
2,17518.0,12.7117,12.7176,222683.5606,222786.9579,FTX,2020-11-17 22:05:45
3,17517.5,66.8892,66.8892,1171731.561,1171731.561,FTXUS,2020-11-17 22:05:45
4,17517.0,0.0002,12.7178,3.5034,222790.4613,FTX,2020-11-17 22:05:45
5,17516.5,0.0285,12.7463,499.22025,223289.68155,FTX,2020-11-17 22:05:45
6,17516.5,83.9941,150.8833,1471282.65265,2643014.21365,FTXUS,2020-11-17 22:05:45
7,17516.0,0.0171,12.7634,299.5236,223589.20515,FTX,2020-11-17 22:05:45
8,17515.5,0.1426,12.906,2497.7103,226086.91545,FTX,2020-11-17 22:05:45
9,17514.0,0.0591,12.9651,1035.0774,227121.99285,FTX,2020-11-17 22:05:45
