ask px,ask size,ask size cumulative,ask sum,ask sum cumulative,exchange,time
19,17570.5,49.2993,85.9127,866213.35065,1509293.03605,FTXUS,2020-11-17 22:04:36
0,17551.0,0.1424,0.1424,2499.2624,2499.2624,FTX,2020-11-17 22:04:40
1,17552.5,0.0593,0.2017,1040.86325,3540.12565,FTX,2020-11-17 22:04:40
2,17553.0,0.019,0.2207,333.507,3873.63265,FTX,2020-11-17 22:04:40
3,17553.5,0.427,0.6477,7495.3445,11368.97715,FTX,2020-11-17 22:04:40
4,17555.0,0.0593,0.707,1041.0115,12409.98865,FTX,2020-11-17 22:04:40
5,17555.5,0.2373,0.9443,4165.92015,16575.9088,FTX,2020-11-17 22:04:40
6,17556.0,0.4744,1.4187,8328.5664,24904.4752,FTX,2020-11-17 22:04:40
7,17557.0,0.2668,1.6855,4684.2076,29588.6828,FTX,2020-11-17 22:04:40
8,17557.5,0.189,1.8745,3318.3675,32907.0503,FTX,2020-11-17 22:04:40
9,17558.5,0.4512,2.3257,7922.3952,40829.4455,FTX,2020-11-17 22:04:40
10,17559.0,0.8895,3.2152,15618.7305,56448.176,FTX,2020-11-17 22:04:40
11,17561.0,0.1,3.3152,1756.1,58204.276,FTX,2020-11-17 22:04:40
12,17561.5,0.2004,3.5156,3519.3246,61723.6006,FTX,2020-11-17 22:04:40
13,17563.0,17.3428,17.3428,304591.5964,304591.5964,FTXUS,2020-11-17 22:04:40
14,17565.0,19.2706,36.6134,338488.089,643079.6854,FTXUS,2020-11-17 22:04:40
15,17566.0,0.7791,4.2947,13685.6706,75409.2712,FTX,2020-11-17 22:04:40
16,17567.0,0.8539,5.1486,15000.4613,90409.7325,FTX,2020-11-17 22:04:40
17,17569.0,10.1815,15.3301,178878.7735,269288.506,FTX,2020-11-17 22:04:40
18,17570.5,49.2993,85.9127,866213.35065,1509293.03605,FTXUS,2020-11-17 22:04:40
19,17574.0,0.773,16.1031,13584.702,282873.208,FTX,2020-11-17 22:04:40
0,17549.0,16.2901,16.2901,285874.9649,285874.9649,FTX,2020-11-17 22:04:51
1,17549.5,0.01,16.3001,175.495,286050.4599,FTX,2020-11-17 22:04:51
2,17550.5,0.019,16.3191,333.4595,286383.9194,FTX,2020-11-17 22:04:51
3,17551.0,0.0593,16.3784,1040.7743,287424.6937,FTX,2020-11-17 22:04:51
4,17552.0,0.1,16.4784,1755.2,289179.8937,FTX,2020-11-17 22:04:51
5,17552.5,0.0593,16.5377,1040.86325,290220.75695,FTX,2020-11-17 22:04:51
6,17553.5,0.0297,16.5674,521.33895,290742.0959,FTX,2020-11-17 22:04:51
7,17554.0,0.7114,17.2788,12487.9156,303230.0115,FTX,2020-11-17 22:04:51
8,17555.0,0.723,18.0018,12692.265,315922.2765,FTX,2020-11-17 22:04:51
9,17555.5,0.2077,18.2095,3646.27735,319568.55385,FTX,2020-11-17 22:04:51
10,17557.5,0.1,18.3095,1755.75,321324.30385,FTX,2020-11-17 22:04:51
11,17558.0,0.0806,18.3901,1415.1748,322739.47865,FTX,2020-11-17 22:04:51
12,17558.5,0.4512,18.8413,7922.3952,330661.87385,FTX,2020-11-17 22:04:51
13,17559.5,0.01,18.8513,175.595,330837.46885,FTX,2020-11-17 22:04:51
14,17561.5,1.0446,19.8959,18344.7429,349182.21175,FTX,2020-11-17 22:04:51
15,17562.0,0.1688,20.0647,2964.4656,352146.67735,FTX,2020-11-17 22:04:51
16,17562.0,12.5215,12.5215,219902.583,219902.583,FTXUS,2020-11-17 22:04:51
17,17566.0,0.627,20.6917,11013.882,363160.55935,FTX,2020-11-17 22:04:51
18,17566.0,0.9791,13.5006,17198.8706,237101.4536,FTXUS,2020-11-17 22:04:51
19,17569.0,10.1815,30.8732,178878.7735,542039.33285,FTX,2020-11-17 22:04:51
0,17549.0,16.347,16.347,286873.503,286873.503,FTX,2020-11-17 22:04:51
1,17549.5,0.029,16.376,508.9355,287382.4385,FTX,2020-11-17 22:04:51
2,17550.0,0.1424,16.5184,2499.12,289881.5585,FTX,2020-11-17 22:04:51
3,17551.0,0.0593,16.5777,1040.7743,290922.3328,FTX,2020-11-17 22:04:51
4,17551.5,0.1186,16.6963,2081.6079,293003.9407,FTX,2020-11-17 22:04:51
5,17552.0,0.4474,17.1437,7852.7648,300856.7055,FTX,2020-11-17 22:04:51
6,17552.5,0.504,17.6477,8846.46,309703.1655,FTX,2020-11-17 22:04:51
7,17553.5,0.1484,17.7961,2604.9394,312308.1049,FTX,2020-11-17 22:04:51
8,17554.0,0.8895,18.6856,15614.283,327922.3879,FTX,2020-11-17 22:04:51
9,17554.5,0.4271,19.1127,7497.52695,335419.91485,FTX,2020-11-17 22:04:51
10,17555.0,0.723,19.8357,12692.265,348112.17985,FTX,2020-11-17 22:04:51
11,17555.5,0.089,19.9247,1562.4395,349674.61935,FTX,2020-11-17 22:04:51
12,17556.5,0.3262,20.2509,5726.9303,355401.54965,FTX,2020-11-17 22:04:51
13,17557.5,0.1,20.3509,1755.75,357157.29965,FTX,2020-11-17 22:04:51
14,17558.5,0.125,20.4759,2194.8125,359352.11215,FTX,2020-11-17 22:04:51
15,17559.5,0.01,20.4859,175.595,359527.70715,FTX,2020-11-17 22:04:51
16,17561.5,1.0446,21.5305,18344.7429,377872.45005,FTX,2020-11-17 22:04:51
17,17562.0,12.5215,12.5215,219902.583,219902.583,FTXUS,2020-11-17 22:04:51
18,17562.0,0.1688,21.6993,2964.4656,380836.91565,FTX,2020-11-17 22:04:51
19,17566.0,0.9791,13.5006,17198.8706,237101.4536,FTXUS,2020-11-17 22:04:51
0,17547.0,0.0806,0.0806,1414.2882,1414.2882,FTX,2020-11-17 22:04:55
1,17547.5,0.1424,0.223,2498.764,3913.0522,FTX,2020-11-17 22:04:55
2,17548.0,0.1,0.323,1754.8,5667.8522,FTX,2020-11-17 22:04:55
3,17549.5,0.01,0.333,175.495,5843.3472,FTX,2020-11-17 22:04:55
4,17551.0,0.0593,0.3923,1040.7743,6884.1215,FTX,2020-11-17 22:04:55
5,17551.5,0.1186,0.5109,2081.6079,8965.7294,FTX,2020-11-17 22:04:55
6,17552.0,0.2668,0.7777,4682.8736,13648.603,FTX,2020-11-17 22:04:55
7,17552.5,0.4447,1.2224,7805.59675,21454.19975,FTX,2020-11-17 22:04:55
8,17553.5,0.9785,2.2009,17176.09975,38630.2995,FTX,2020-11-17 22:04:55
9,17554.5,0.089,2.2899,1562.3505,40192.65,FTX,2020-11-17 22:04:55
10,17555.0,0.723,3.0129,12692.265,52884.915,FTX,2020-11-17 22:04:55
